x,y,r,building,road,none
416,652,50,0.69,0.07,0.25
115,490,50,0.31,0.05,0.64
177,551,50,0.35,0.31,0.35
368,305,50,0.52,0.12,0.36
406,472,50,0.71,0.08,0.21
166,295,50,0.18,0.21,0.61
436,247,50,0.53,0.03,0.43
439,283,50,0.57,0.07,0.36
323,283,50,0.17,0.34,0.49
449,57,50,0.21,0.04,0.75
186,283,50,0.17,0.44,0.39
393,549,50,0.31,0.04,0.64
122,359,50,0.38,0.04,0.59
330,439,50,0.21,0.17,0.62
190,222,50,0.36,0.43,0.21
347,658,50,0.24,0.13,0.62
361,586,50,0.59,0.08,0.33
452,91,50,0.47,0.02,0.51
321,548,50,0.09,0.22,0.69
430,83,50,0.62,0.03,0.35
202,67,50,0.18,0.7,0.12
94,565,50,0.63,0.09,0.28
132,82,50,0.8,0.07,0.14
72,67,50,0.57,0.17,0.26
209,518,50,0.05,0.64,0.32
230,352,50,0.0,0.76,0.24
380,232,50,0.76,0.03,0.21
381,488,50,0.37,0.11,0.51
267,338,50,0.0,0.61,0.39
451,205,50,0.21,0.06,0.73
356,387,50,0.33,0.06,0.61
455,549,50,0.06,0.02,0.91
347,169,50,0.19,0.11,0.7
362,168,50,0.32,0.12,0.57
290,146,50,0.0,0.44,0.56
232,327,50,0.0,0.77,0.23
224,80,50,0.03,0.93,0.04
107,381,50,0.59,0.05,0.36
215,261,50,0.16,0.76,0.08
334,196,50,0.2,0.16,0.64
155,312,50,0.17,0.2,0.63
174,404,50,0.15,0.43,0.42
96,224,50,0.62,0.04,0.33
334,185,50,0.16,0.17,0.67
367,64,50,0.5,0.13,0.38
263,415,50,0.0,0.78,0.22
130,313,50,0.4,0.1,0.49
123,523,50,0.37,0.09,0.54
166,272,50,0.43,0.29,0.28
363,347,50,0.22,0.11,0.68
253,477,50,0.0,0.72,0.28
195,503,50,0.03,0.51,0.46
110,131,50,0.6,0.04,0.36
208,159,50,0.0,0.64,0.36
249,89,50,0.0,0.94,0.06
362,422,50,0.57,0.13,0.3
445,331,50,0.25,0.09,0.66
442,363,50,0.2,0.07,0.72
413,183,50,0.46,0.08,0.46
193,182,50,0.11,0.46,0.43
331,350,50,0.02,0.17,0.8
252,526,50,0.0,0.79,0.21
331,100,50,0.28,0.33,0.39
328,354,50,0.02,0.19,0.78
143,439,50,0.39,0.13,0.49
156,178,50,0.19,0.14,0.68
347,165,50,0.22,0.22,0.56
270,600,50,0.0,0.7,0.3
343,300,50,0.31,0.23,0.46
378,216,50,0.62,0.11,0.27
81,532,50,0.33,0.19,0.48
291,507,50,0.0,0.38,0.62
218,438,50,0.0,0.8,0.2
315,175,50,0.02,0.33,0.64
223,291,50,0.0,0.86,0.14
138,67,50,0.72,0.11,0.17
261,400,50,0.0,0.82,0.18
220,75,50,0.05,0.91,0.04
242,585,50,0.0,0.91,0.09
449,460,50,0.65,0.04,0.31
116,90,50,0.81,0.11,0.08
234,330,50,0.0,0.81,0.19
338,438,50,0.3,0.18,0.52
334,586,50,0.35,0.21,0.44
402,53,50,0.39,0.13,0.48
223,172,50,0.01,0.83,0.16
411,643,50,0.79,0.07,0.14
249,133,50,0.0,0.87,0.13
93,509,50,0.35,0.22,0.43
187,250,50,0.4,0.48,0.13
194,662,50,0.0,0.43,0.57
403,127,50,0.88,0.06,0.06
241,418,50,0.0,0.92,0.08
359,485,50,0.21,0.18,0.61
71,403,50,0.53,0.12,0.35
267,551,50,0.0,0.78,0.22
111,172,50,0.38,0.09,0.53
320,249,50,0.25,0.47,0.28
413,581,50,0.61,0.05,0.34
313,361,50,0.01,0.24,0.75
234,332,50,0.0,0.82,0.18
332,659,50,0.1,0.17,0.73
452,240,50,0.35,0.09,0.57
174,573,50,0.4,0.29,0.31
121,448,50,0.59,0.09,0.33
442,637,50,0.52,0.04,0.44
317,640,50,0.07,0.21,0.72
321,536,50,0.05,0.25,0.69
108,406,50,0.75,0.11,0.14
313,623,50,0.1,0.32,0.58
296,449,50,0.0,0.48,0.52
116,500,50,0.35,0.18,0.47
284,384,50,0.0,0.64,0.36
120,554,50,0.69,0.14,0.17
240,289,50,0.0,0.9,0.1
256,51,50,0.0,0.81,0.19
157,567,50,0.55,0.2,0.26
262,657,50,0.0,0.7,0.3
64,636,50,0.36,0.23,0.41
439,228,50,0.42,0.1,0.48
183,639,50,0.03,0.35,0.63
258,173,50,0.0,0.82,0.18
336,233,50,0.39,0.34,0.27
387,130,50,0.75,0.13,0.12
150,224,50,0.65,0.11,0.24
248,241,50,0.03,0.94,0.03
250,399,50,0.0,0.93,0.07
129,585,50,0.78,0.1,0.12
292,364,50,0.0,0.53,0.47
217,525,50,0.04,0.81,0.15
110,476,50,0.49,0.18,0.33
376,375,50,0.41,0.15,0.44
325,528,50,0.04,0.24,0.72
171,416,50,0.17,0.51,0.32
154,571,50,0.57,0.19,0.24
447,487,50,0.45,0.08,0.47
265,317,50,0.0,0.78,0.22
194,402,50,0.01,0.75,0.24
58,77,50,0.43,0.26,0.31
324,117,50,0.17,0.45,0.38
166,480,50,0.0,0.35,0.65
375,446,50,0.66,0.2,0.13
414,405,50,0.69,0.04,0.27
163,450,50,0.13,0.36,0.51
339,458,50,0.22,0.27,0.51
319,414,50,0.18,0.43,0.39
364,588,50,0.62,0.16,0.22
360,119,50,0.56,0.21,0.23
295,114,50,0.0,0.72,0.27
94,620,50,0.73,0.2,0.07
316,288,50,0.11,0.44,0.45
380,82,50,0.67,0.15,0.18
241,644,50,0.0,0.82,0.18
124,249,50,0.84,0.13,0.03
184,400,50,0.07,0.68,0.25
317,427,50,0.15,0.46,0.39
238,191,50,0.02,0.87,0.11
95,287,50,0.81,0.14,0.05
166,364,50,0.11,0.47,0.42
434,539,50,0.14,0.08,0.78
315,196,50,0.1,0.43,0.47
157,156,50,0.09,0.27,0.65
155,386,50,0.26,0.43,0.31
452,588,50,0.29,0.04,0.67
369,613,50,0.67,0.22,0.11
376,504,50,0.22,0.23,0.55
158,283,50,0.38,0.37,0.25
