x,y,r,building,road,none
708,163,50,0.0,0.01,0.99
797,1671,50,0.07,0.19,0.74
1883,1587,50,0.0,0.01,0.99
1487,1927,50,0.33,0.0,0.67
608,771,50,0.0,0.28,0.72
877,282,50,0.0,0.0,1.0
753,898,50,0.0,0.09,0.91
1700,249,50,0.0,0.09,0.91
964,1066,50,0.0,0.02,0.98
777,2009,50,0.0,0.0,1.0
1344,1543,50,0.72,0.18,0.1
632,908,50,0.0,0.07,0.93
122,1686,50,0.0,0.0,1.0
1825,495,50,0.0,0.11,0.89
79,1366,50,0.0,0.0,1.0
632,1982,50,0.0,0.0,1.0
1592,1406,50,0.0,0.0,1.0
1769,1510,50,0.0,0.0,1.0
1343,1392,50,0.0,0.0,1.0
433,1676,50,0.0,0.0,1.0
1121,1049,50,0.0,0.33,0.67
279,369,50,0.0,0.05,0.95
884,856,50,0.0,0.03,0.97
1639,452,50,0.0,0.0,1.0
1584,1070,50,0.0,0.0,1.0
1900,399,50,0.0,0.58,0.42
1853,1334,50,0.0,0.28,0.72
562,1193,50,0.0,0.39,0.61
481,1956,50,0.0,0.0,1.0
559,149,50,0.0,0.51,0.49
1029,286,50,0.0,0.0,1.0
531,980,50,0.0,0.01,0.99
784,87,50,0.0,0.0,1.0
68,929,50,0.0,0.0,1.0
1036,892,50,0.0,0.0,1.0
1560,1659,50,0.0,0.0,1.0
750,1114,50,0.0,0.01,0.99
248,1713,50,0.0,0.0,1.0
68,1541,50,0.0,0.0,1.0
1129,2051,50,0.0,0.11,0.89
1245,1456,50,0.0,0.0,1.0
339,540,50,0.0,0.02,0.98
1039,1667,50,0.0,0.31,0.69
1822,1963,50,0.0,0.0,1.0
1783,1407,50,0.0,0.39,0.61
1453,1261,50,0.0,0.0,1.0
1083,576,50,0.0,0.02,0.98
691,1616,50,0.85,0.0,0.15
1888,1475,50,0.0,0.07,0.93
113,208,50,0.0,0.01,0.99
1763,85,50,0.0,0.16,0.84
901,1979,50,0.0,0.0,1.0
371,304,50,0.0,0.09,0.91
284,934,50,0.0,0.02,0.98
837,1553,50,0.0,1.0,0.0
1330,488,50,0.0,0.0,1.0
528,394,50,0.0,0.23,0.77
1804,333,50,0.0,0.04,0.96
595,612,50,0.0,0.34,0.66
1107,1411,50,0.0,0.0,1.0
1819,966,50,0.0,0.0,1.0
231,1145,50,0.0,0.0,1.0
426,1339,50,0.5,0.0,0.49
1397,1801,50,1.0,0.0,0.0
468,1479,50,0.48,0.02,0.5
1478,565,50,0.0,0.55,0.45
1275,1092,50,0.0,0.27,0.73
1818,675,50,0.0,0.0,1.0
56,1872,50,0.0,0.02,0.98
411,612,50,0.0,0.22,0.78
850,602,50,0.0,0.0,1.0
1230,860,50,0.0,0.04,0.96
623,1725,50,0.72,0.0,0.28
244,1600,50,0.0,0.0,1.0
901,450,50,0.0,0.05,0.95
872,1282,50,0.0,0.72,0.28
1606,781,50,0.0,0.72,0.28
1595,910,50,0.0,0.67,0.33
1147,1681,50,0.0,0.0,1.0
1683,1099,50,0.0,0.42,0.58
1060,1316,50,0.0,0.0,1.0
1221,160,50,0.0,0.04,0.96
1668,639,50,0.0,0.04,0.96
1149,1557,50,0.0,0.19,0.81
153,406,50,0.0,0.02,0.98
961,1813,50,0.0,0.05,0.95
648,259,50,0.0,0.06,0.94
1429,1669,50,1.0,0.0,0.0
781,1783,50,0.87,0.0,0.12
749,548,50,0.0,0.01,0.99
719,1301,50,0.0,0.46,0.54
1609,1225,50,0.0,0.0,1.0
625,1386,50,0.17,0.0,0.82
896,1646,50,0.0,0.94,0.06
1535,388,50,0.0,0.01,0.99
275,774,50,0.0,0.16,0.84
1061,191,50,0.0,0.05,0.95
628,61,50,0.0,0.0,1.0
958,1542,50,0.0,0.2,0.8
765,255,50,0.0,0.04,0.96
154,642,50,0.0,0.21,0.79
531,1794,50,0.0,0.0,1.0
1173,719,50,0.0,0.0,1.0
625,1081,50,0.0,0.0,1.0
1381,939,50,0.0,0.74,0.26
1072,1176,50,0.0,0.49,0.51
580,1492,50,1.0,0.0,0.0
667,458,50,0.0,0.05,0.95
247,592,50,0.0,0.17,0.83
74,1151,50,0.0,0.0,1.0
1372,1908,50,0.87,0.02,0.12
1796,1075,50,0.0,0.04,0.96
159,1218,50,0.0,0.0,1.0
1507,1549,50,0.0,0.0,1.0
1851,802,50,0.0,0.05,0.95
855,745,50,0.0,0.01,0.99
1358,810,50,0.0,0.12,0.88
1443,87,50,0.0,0.02,0.98
1674,1605,50,0.0,0.0,1.0
1236,1248,50,0.0,0.0,1.0
331,1942,50,0.0,0.0,1.0
1149,370,50,0.0,0.06,0.94
390,1546,50,0.0,0.0,1.0
188,1985,50,0.0,0.0,1.0
195,83,50,0.0,0.25,0.75
793,413,50,0.0,0.01,0.99
1730,775,50,0.0,0.06,0.94
1125,73,50,0.0,0.01,0.99
427,798,50,0.0,0.22,0.78
59,1986,50,0.0,0.02,0.98
440,196,50,0.0,0.54,0.46
806,1414,50,0.0,0.48,0.52
1751,1684,50,0.0,0.0,1.0
1568,173,50,0.0,0.02,0.98
